Country,Year,Agriculture,Energy,Industry,Residential,Transport,Waste,Other,total
Algeria,1995,880,53013.3761,3764.5454,11739.7064,11918.5893,0,0,81316.2172
Algeria,1996,880,51762.7813,3938.5306,11520.1284,12201.1577,0,0,80302.598
Algeria,1997,880,50278.7164,4522.3995,10840.7591,12562.078,0,0,79083.953
Algeria,1998,880,49427.4876,4557.9254,12371.9947,12385.5089,0,0,79622.9166
Algeria,1999,880,50805.2541,4852.5177,13101.9511,12863.1716,0,0,82502.8945
Algeria,2000,880,51083,5187.51,12800,13530,0,0,83480.51
Algeria,2001,513,49595,5143.92,13300,13380,0,0,81931.92
Algeria,2002,513,50401,5606.44,14200,13400,0,0,84120.44
Algeria,2003,513,53213,5554.96,15200,14868,0,0,89348.96
Algeria,2004,513,50252,6318.28,17200,15448,0,0,89731.28
Algeria,2005,513,51467,7050.91,19000,15980,0,0,94010.91
Algeria,2006,-6747,54970,7610.43,19400,16440,0,0,91673.43
Algeria,2007,-6747,53999,8159.25,21200,18730,0,0,95341.25
Algeria,2008,-6747,55679,8589.48,22100,20010,0,0,99631.48
Algeria,2009,-6747,56987,8818.3,13500,33260,0,0,105818.3
Algeria,2010,-6747,57519,10070.82,13200,33530,0,0,107572.82
American Samoa,1990,14,0,10.6314,0,,0,0,24.6314
American Samoa,1991,14,0,10.9352,0,,0,0,24.9352
American Samoa,1992,14,0,11.2195,0,,0,0,25.2195
American Samoa,1993,14,0,11.4852,0,,0,0,25.4852
American Samoa,1994,14,0,11.7324,0,,0,0,25.7324
American Samoa,1995,14,0,11.9649,0,,0,0,25.9649
American Samoa,1996,14,0,12.1796,0,,0,0,26.1796
American Samoa,1997,14,0,12.379,0,,0,0,26.379
American Samoa,1998,14,0,12.5776,0,,0,0,26.5776
American Samoa,1999,14,0,12.7938,0,,0,0,26.7938
American Samoa,2000,14,0,13.0759,0,0,0,0,27.0759
American Samoa,2001,14,0,13.2795,0,0,0,0,27.2795
American Samoa,2002,14,0,13.6832,0,0,0,0,27.6832
American Samoa,2003,14,0,13.9881,0,0,0,0,27.9881
American Samoa,2004,14,0,14.293,0,0,0,0,28.293
American Samoa,2005,14,0,14.5968,0,0,0,0,28.5968
American Samoa,2006,14,0,15.0017,0,0,0,0,29.0017
American Samoa,2007,14,0,15.3055,0,0,0,0,29.3055
American Samoa,2008,14,0,15.6103,0,0,0,0,29.6103
American Samoa,2009,14,0,16.0152,0,0,0,0,30.0152
American Samoa,2010,14,0,16.3191,0,0,0,0,30.3191
Angola,1990,83384,9173.5207,165.8788,661.6754,1016.8105,0,0,94401.8854
Angola,1991,83384,9101.8257,169.839,687.4952,1255.8726,0,0,94599.0325
Angola,1992,83384,9216.3319,195.1636,617.4753,1188.0872,0,0,94601.058
Angola,1993,83384,9564.5344,139.8344,515.5114,1211.4749,0,0,94815.3551
Angola,1994,83384,8449.6311,162.3237,633.5407,1540.1015,0,0,94169.597
Angola,1995,83384,10250.8646,161.8039,667.1658,1069.1006,0,0,95532.9349
Angola,1996,81980,12573.1393,148.2351,911.7992,989.5195,0,0,96602.6931
Angola,1997,79158,13155.7839,161.8371,910.3039,1051.5074,0,0,94437.4323
Angola,1998,83774,13752.2009,182.833,1011.832,835.3745,0,0,99556.2404
Angola,1999,79218,14073.4055,182.4507,1255.7767,1156.9768,0,0,95886.6097
Angola,2000,82397,13210,182.18,1050,1070,0,0,97909.18
Angola,2001,71491,12695,267.67,1170,1200,0,0,86823.67
Angola,2002,84023,12171,285.53,1200,1480,0,0,99159.53
Angola,2003,86993,11790,328.44,1180,3178,0,0,103469.44
Angola,2004,93722,12879,349.36,1230,2970,0,0,111150.36
Angola,2005,94768,12038,581.39,936,2328,0,0,110651.39
Angola,2006,75215,10377,599.32,1830,3028,0,0,91049.32
Angola,2007,91412,9955,604.26,1940,3982,0,0,107893.26
Angola,2008,77597,9731,598.29,2340,3634,0,0,93900.29
Angola,2009,77734,9661,599.21,2760,4264,0,0,95018.21
Angola,2010,81041,9181,655.18,3000,5787,0,0,99664.18
Anguilla,1990,-16,0,0,0,,0,0,-16
Anguilla,1991,-16,0,0,0,,0,0,-16
