country,avgCo2/cap/country-avg,,Tonns of CO2
Afghanistan,0.1262175758,,
Albania,1.241788659,,
Algeria,1.336327048,,
Andorra,6.8888292,,
Angola,0.5204489231,,
Anguilla,8.6280028,,
Antigua and Barbuda,4.60057431,,
Argentina,2.138666719,,
Armenia,0.7016660123,,
Aruba,20.48626172,,
Australia,6.765138415,,
Austria,3.588937107,,
Azerbaijan,2.98044638,,
Bahamas,10.89591077,,
Bahrain,19.89554963,,
Bangladesh,0.1356395652,,
Barbados,2.106448276,,
Belarus,2.921949755,,
Belgium,7.468128172,,
Belize,1.195974769,,
Benin,0.2033701754,,
Bermuda,6.653698923,,
Bhutan,0.3900926667,,
"Bolivia, Plurinational State of",0.6321288506,,
Bosnia and Herzegovina,3.971536522,,
Botswana,1.545353488,,
Brazil,0.8189686842,,
Brunei Darussalam,23.766656,,
Bulgaria,3.122214559,,
Burkina Faso,0.06508245614,,
Burundi,0.03075377358,,
C̫te d'Ivoire,0.4364045614,,
Cabo Verde,0.3848806154,,
Cambodia,0.1201031667,,
Cameroon,0.2172027692,,
Canada,6.742079581,,
Cayman Islands,7.408772881,,
Central African Republic,0.06617321429,,
Chad,0.03294928571,,
Chile,1.822898083,,
China,1.290070263,,
Christmas Island,74.16946929,,
Colombia,1.026386277,,
Comoros,0.1428532143,,
Congo,0.4321525,,
"Congo, Democratic Republic of the",0.08012610526,,
Cook Islands,2.121057826,,
Costa Rica,0.9975555385,,
Croatia,4.464649565,,
Cuba,2.136587568,,
Cyprus,4.376492615,,
Czechia,7.667112774,,
Denmark,4.792620523,,
Djibouti,0.6523307692,,
Dominica,0.7703640625,,
Dominican Republic,1.182880882,,
Ecuador,0.9879892857,,
Egypt,0.8132181731,,
El Salvador,0.5819869231,,
Equatorial Guinea,1.424255231,,
Eritrea,0.1449511111,,
Estonia,8.380633429,,
Eswatini,0.5799171429,,
Ethiopia,0.04421357143,,
Falkland Islands (Malvinas),33.55163254,,
Faroe Islands,9.076611692,,
Fiji,0.9517472308,,
Finland,3.776594258,,
France,3.546514879,,
French Guiana,2.851214923,,
French Polynesia,2.077391333,,
Gabon,4.424686429,,
Gambia,0.1627363077,,
Georgia,0.8929032515,,
Germany,5.644312047,,
Ghana,0.2821129231,,
Gibraltar,5.742853385,,
Greece,2.459491791,,
Greenland,9.041070154,,
Grenada,1.003001385,,
Guadeloupe,2.543530923,,
Guatemala,0.4823074324,,
Guinea,0.1850194737,,
Guinea-Bissau,0.1218924615,,
Guyana,1.789027846,,
Haiti,0.1273446154,,
Honduras,0.576394,,
Hong Kong,3.35885338,,
Hungary,2.574427568,,
Iceland,6.036052895,,
India,0.3377538356,,
Indonesia,0.5069992063,,
