country,AvgIncome,,,,1800-2018
Afghanistan,898.1369863,,,,
Albania,2323.90411,,,,
Algeria,3977.456621,,,,
Andorra,11141.0411,,,,
Angola,2147.388128,,,,
Antigua and Barbuda,4615.068493,,,,
Argentina,7061.520548,,,,
Armenia,1753.39726,,,,
Aruba,8025.47032,,,,
Australia,12068.05936,,,,
Austria,11318.3379,,,,
Azerbaijan,3369.073059,,,,
Bahamas,8378.059361,,,,
Bahrain,12795.55708,,,,
Bangladesh,1145.584475,,,,
Barbados,4449.643836,,,,
Belarus,3202.342466,,,,
Belgium,11969.14155,,,,
Belize,2100.721461,,,,
Benin,1027.360731,,,,
Bermuda,13591.9589,,,,
Bhutan,1343.894977,,,,
"Bolivia, Plurinational State of",2373.424658,,,,
Bosnia and Herzegovina,2019.885845,,,,
Botswana,2427.949772,,,,
Brazil,3911.388128,,,,
Brunei Darussalam,28718.20548,,,,
Bulgaria,4112.785388,,,,
Burkina Faso,641.0684932,,,,
Burundi,555.739726,,,,
C̫te d'Ivoire,1786.716895,,,,
Cabo Verde,1212.027397,,,,
Cambodia,1168.333333,,,,
Cameroon,1372.164384,,,,
Canada,11618.31507,,,,
Cayman Islands,13450.3653,,,,
Central African Republic,750.4977169,,,,
Chad,841.7488584,,,,
Chile,5107.762557,,,,
China,1735.100457,,,,
Colombia,3107.721461,,,,
Comoros,952.0593607,,,,
Congo,1824.031963,,,,
"Congo, Democratic Republic of the",945.3744292,,,,
Costa Rica,3623.899543,,,,
Croatia,6273.607306,,,,
Cuba,5752.748858,,,,
Cyprus,7015.894977,,,,
Czechia,8342.598174,,,,
Denmark,12748.63014,,,,
Djibouti,1820.16895,,,,
Dominica,2499.671233,,,,
Dominican Republic,2574.652968,,,,
Ecuador,2890.310502,,,,
Egypt,2421.09589,,,,
El Salvador,2850.191781,,,,
Equatorial Guinea,3052.43379,,,,
Eritrea,797.8538813,,,,
Estonia,5640.853881,,,,
Eswatini,2034.255708,,,,
Ethiopia,614.5570776,,,,
Fiji,2530.506849,,,,
Finland,9373.479452,,,,
France,10270.44749,,,,
Gabon,4521.3379,,,,
Gambia,1062.328767,,,,
Georgia,2346.589041,,,,
Germany,11313.93607,,,,
Ghana,1423.680365,,,,
Greece,7262.13242,,,,
Greenland,5488.630137,,,,
Grenada,2790.30137,,,,
Guatemala,2695.703196,,,,
Guinea,675.4885845,,,,
Guinea-Bissau,1020.315068,,,,
Guyana,2649.543379,,,,
Haiti,1482.52968,,,,
Honduras,2021.127854,,,,
Hong Kong,8416.730594,,,,
Hungary,6734.292237,,,,
Iceland,9626.027397,,,,
India,1437.305936,,,,
Indonesia,2232.164384,,,,
"Iran, Islamic Republic of",4512.972603,,,,
Iraq,4078.694064,,,,
Ireland,9876.091324,,,,
Israel,6513.004566,,,,
Italy,10060.98174,,,,
Jamaica,2984.607306,,,,
Japan,8106.401826,,,,
Jordan,3005.968037,,,,
Kazakhstan,5417.936073,,,,
Kenya,1478.269406,,,,
Kiribati,1330.173516,,,,
"Korea, Democratic People's Republic of",940.9086758,,,,
"Korea, Republic of",4275.401826,,,,
Kuwait,19271.99087,,,,
Kyrgyzstan,1573.762557,,,,
Lao People's Democratic Republic,1359.484018,,,,
Latvia,4553.575342,,,,
Lebanon,5018.744292,,,,
Lesotho,710.4474886,,,,
Liberia,1081.479452,,,,
Libya,10547.46575,,,,
Lithuania,6168.639269,,,,
Luxembourg,19307.55251,,,,
Macao,13635.10959,,,,
"Macedonia, the former Yugoslav Republic of",3375.502283,,,,
Madagascar,1157.936073,,,,
Malawi,486.6347032,,,,
Malaysia,4344,,,,
Maldives,1978.351598,,,,
Mali,820.7305936,,,,
Malta,5537.890411,,,,
Marshall Islands,1240.657534,,,,
Mauritania,1336.575342,,,,
Mauritius,3349.689498,,,,
Mexico,4902.223744,,,,
"Micronesia, Federated States of",1190.187215,,,,
"Moldova, Republic of",2049.410959,,,,
Monaco,14711.72603,,,,
Mongolia,1701.652968,,,,
Montenegro,4967.465753,,,,
Morocco,1832.100457,,,,
Mozambique,458.8447489,,,,
Myanmar,1163.465753,,,,
Namibia,3046.356164,,,,
Nauru,7254.273973,,,,
Nepal,913.6757991,,,,
Netherlands,12821.82192,,,,
New Zealand,10925.24201,,,,
Nicaragua,2702.497717,,,,
Niger,740.0136986,,,,
Nigeria,2024.96347,,,,
Norway,14456.93607,,,,
Oman,9265.803653,,,,
Pakistan,1619.616438,,,,
Palau,6917.849315,,,,
"Palestine, State of",1423.415525,,,,
Panama,4140.488584,,,,
Papua New Guinea,1007.917808,,,,
Paraguay,2942.767123,,,,
Peru,3589.493151,,,,
Philippines,2141.273973,,,,
Poland,5362.899543,,,,
Portugal,6610.703196,,,,
Puerto Rico,8318.278539,,,,
Qatar,28736.58904,,,,
Romania,5004.164384,,,,
Russian Federation,6944.630137,,,,
Rwanda,606.109589,,,,
Saint Kitts and Nevis,4998.415525,,,,
Saint Lucia,2812.009132,,,,
Saint Vincent and the Grenadines,2606.365297,,,,
Samoa,2512.059361,,,,
San Marino,11515.43379,,,,
Sao Tome and Principe,1332.753425,,,,
Saudi Arabia,13830.83105,,,,
Senegal,1136.780822,,,,
Serbia,5072.305936,,,,
Seychelles,4978.748858,,,,
Sierra Leone,1047.584475,,,,
Singapore,11634.79452,,,,
Sint Maarten (Dutch part),36327,,,,
Slovakia,6457.753425,,,,
Slovenia,7436.73516,,,,
Solomon Islands,807.6027397,,,,
